127.0.0.1 - - [30/Apr/2025:10:45:26 +0900] "GET / HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [30/Apr/2025:10:45:26 +0900] "GET /MavenProject02/Join.html HTTP/1.1" 200 344
0:0:0:0:0:0:0:1 - - [30/Apr/2025:10:45:27 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [30/Apr/2025:10:45:37 +0900] "GET /MavenProject02/Login.html HTTP/1.1" 200 295
0:0:0:0:0:0:0:1 - - [30/Apr/2025:10:45:47 +0900] "GET /MavenProject02/index.jsp HTTP/1.1" 200 125
0:0:0:0:0:0:0:1 - - [30/Apr/2025:10:45:48 +0900] "GET /MavenProject02/Join.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Apr/2025:10:45:52 +0900] "GET /MavenProject02/Login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Apr/2025:11:11:53 +0900] "GET /Ex05JSPPlus/Ex03CreateInput.jsp HTTP/1.1" 200 753
0:0:0:0:0:0:0:1 - - [30/Apr/2025:11:12:14 +0900] "GET /Ex05JSPPlus/Ex03RandomInput.jsp?num=2 HTTP/1.1" 200 1049
0:0:0:0:0:0:0:1 - - [30/Apr/2025:11:12:18 +0900] "GET /Ex05JSPPlus/Ex03RandomOutput.jsp?topic=%EC%98%A4%EB%8A%98&item=&item= HTTP/1.1" 200 628
0:0:0:0:0:0:0:1 - - [30/Apr/2025:11:12:29 +0900] "GET /Ex05JSPPlus/Ex03RandomOutput.jsp?topic=%EC%98%A4%EB%8A%98+%EC%A0%90%EC%8B%AC%EB%A9%94%EB%89%B4%EB%8A%94%3F&item=%EA%B9%80%EC%B9%98%EB%B3%B6%EC%9D%8C%EB%B0%A5&item=%EB%B1%83%EC%82%B4%EB%8F%84%EB%91%91 HTTP/1.1" 200 657
0:0:0:0:0:0:0:1 - - [30/Apr/2025:11:12:33 +0900] "GET /Ex05JSPPlus/Ex03RandomOutput.jsp?topic=%EC%98%A4%EB%8A%98+%EC%A0%90%EC%8B%AC%EB%A9%94%EB%89%B4%EB%8A%94%3F&item=%EA%B9%80%EC%B9%98%EB%B3%B6%EC%9D%8C%EB%B0%A5&item=%EB%B1%83%EC%82%B4%EB%8F%84%EB%91%91 HTTP/1.1" 200 657
0:0:0:0:0:0:0:1 - - [30/Apr/2025:11:12:35 +0900] "GET /Ex05JSPPlus/Ex03RandomOutput.jsp?topic=%EC%98%A4%EB%8A%98+%EC%A0%90%EC%8B%AC%EB%A9%94%EB%89%B4%EB%8A%94%3F&item=%EA%B9%80%EC%B9%98%EB%B3%B6%EC%9D%8C%EB%B0%A5&item=%EB%B1%83%EC%82%B4%EB%8F%84%EB%91%91 HTTP/1.1" 200 660
